1,14.368759,180398484,14680
2,14.471885,180273152,14670
3,14.555421,183767320,14955
4,14.691907,185847420,15124
5,14.379313,182872382,14882
6,13.910971,185120874,15065
7,13.942653,184592316,15022
8,13.82668,184184948,14989
9,13.835321,183658328,14946
10,13.936373,179782350,14630
11,13.922694,183728596,14951
12,13.885964,184500574,15014
13,13.934337,187056728,15222
14,14.442235,188471540,15337
15,14.248104,184702012,15031
16,13.891207,178396714,14517
17,14.130181,182876676,14882
18,14.087221,183655640,14945
19,14.082038,184486954,15013
20,14.011279,179967438,14645
21,14.063074,183974088,14971
22,14.006276,182713112,14869
23,14.048137,175865336,14311
24,14.027597,179437394,14602
25,14.181555,176819176,14389
26,14.067642,176188170,14338
27,14.142094,183232970,14911
28,13.866662,183454866,14929
29,13.944594,182484196,14850
30,13.9743,185022734,15057
31,14.055261,180965376,14727
32,13.997927,180584100,14695
33,14.073265,183925686,14967
34,14.069905,181180098,14744
35,14.225707,180446548,14684
36,14.131747,182921464,14886
37,14.158122,177246532,14424
38,13.984944,181062864,14734
