iteration,avg. fps,avg. polys,avg. models
1,13.505369,192000000,15625
2,13.306861,192000000,15625
3,13.799011,192000000,15625
4,13.501961,192000000,15625
5,13.105436,192000000,15625
6,13.490121,192000000,15625
7,13.909118,192000000,15625
8,13.002469,192000000,15625
9,13.203761,192000000,15625
10,13.509399,192000000,15625
11,13.310281,192000000,15625
12,13.496768,192000000,15625
13,13.105964,192000000,15625
14,13.899546,192000000,15625
15,13.202274,192000000,15625
16,13.603605,192000000,15625
17,13.498515,192000000,15625
18,13.339601,192000000,15625
19,13.500146,192000000,15625
20,13.101621,192000000,15625
21,13.505579,192000000,15625
22,13.308109,192000000,15625
23,13.907233,192000000,15625
24,13.600929,192000000,15625
25,13.476033,192000000,15625
26,13.205743,192000000,15625
27,13.501373,192000000,15625
28,13.108537,192000000,15625
29,13.505816,192000000,15625
30,13.705655,192000000,15625
31,13.603313,192000000,15625
32,13.879264,192000000,15625
33,13.110792,192000000,15625
34,13.404564,192000000,15625
35,13.574826,192000000,15625
36,13.953383,192000000,15625
37,13.010788,192000000,15625
38,13.210217,192000000,15625
